disciplina,tipo,carga_horaria,creditos_cadeira,nota,situacao,periodo
IF702 - REDES NEURAIS,ELETI,75,4,8.50,APROVADO POR MÉDIA,2018.1
IF798 - ROBOTICA,ELETI,75,4,,,
IF743 - SEGURANCA DE SISTEMAS,ELETI,75,5,,,
IF723 - SEM.ENG. SOFT LING. COMPUTACIONAL,ELETI,45,3,,,
IF713 - SEMANTICA LINGUAGENS PROGRAMACAO,ELETI,75,5,,,
IF707 - SEMIN. EM INTELIGENCIA ARTIFICIAL,ELETI,45,3,,SUSPENSO,2020.1
IF698 - SEMIN. GERENC. DADOS E INFORMACAO,ELETI,45,3,,,
IF736 - SEMIN.ARQUIT. SISTEMAS EMBUTIDOS,ELETI,45,3,,,
IF778 - SEMINARIO EM INFORMATICA TEORICA,ELETI,45,3,,,
IF761 - SEMINARIO EM MIDIAS E INTERFACES,ELETI,45,3,,,
IF748 - SEMINARIO REDES SIST.DISTRIBUIDOS,ELETI,45,3,,,
IF693 - SIST.GERENC. DE BANCO DE DADOS,ELETI,75,5,,,
IF730 - SISTEMA DE TEMPO REAL,ELETI,75,5,,,
IF721 - SISTEMAS CRITICOS,ELETI,75,5,,,
IF740 - SISTEMAS DE COMUNICACAO,ELETI,75,4,,SUSPENSO,2020.1
IF714 - SISTEMAS DE INFORMACAO,ELETI,75,4,,,
IF745 - SISTEMAS MULTIMIDIA DISTRIBUIDOS,ELETI,75,4,,,
IF795 - SISTEMAS SUPORTE DECIS.MIN.DADOS,ELETI,75,4,,,
IF801 - TECNOLOGIAS EDUCACIONAIS,ELETI,75,4,,,
IF771 - TEORIA DA PROVA,ELETI,75,5,,,
IF769 - TEORIA DA RECURSAO,ELETI,75,5,,,
IF768 - TEORIA DE GRAFOS,ELETI,75,5,,,
IF770 - TEORIA DOS MODELOS,ELETI,75,5,,,
IF747 - TOP. AVANC. REDES DE COMPUTADORES,ELETI,75,5,,,
IF807 - TOP. AVANC.SIST.SUP.DECIS.MIN.WEB,ELETI,75,5,,,
IF737 - TOP.AVANC. EM SISTEMAS EMBUTIDOS,ELETI,75,5,,,
IF777 - TOP.AVANC. MATEMAT. COMPUTACIONAL,ELETI,75,5,,,
IF811 - TOP.AVANC.ADMINIST.SIST.SEGURANCA,ELETI,75,5,,SUSPENSO,2020.1
IF735 - TOP.AVANC.ARQUIT.DE COMPUTADORES,ELETI,75,5,,,
IF810 - TOP.AVANC.EM NEGÓCIOS ONLINE E EMPREENDIMENTOS,ELETI,75,5,9.00,APROVADO POR MÉDIA,2018.1
IF812 - TOP.AVANC.ENTRETENIMENTO DIGITAL,ELETI,75,5,,,
IF697 - TOP.AVANC.GERENC.DADOS INFORMACAO,ELETI,75,5,,,
IF809 - TOP.AVANC.ROBOT.AUTOM.INTELIGENTE,ELETI,75,5,,,
IF806 - TOPICOS AVANC.EM BIO INFORMATICA,ELETI,75,5,,,
IF706 - TOPICOS AVANC.INTELEG.ARTIFICIAL,ELETI,75,5,3.75,REPROVADO,2018.2
IF749 - TOPICOS AVANC.SIST.DISTRIBUIDOS,ELETI,75,5,,,
IF808 - TOPICOS AVANC.TECNOLOGIA ENSINO,ELETI,75,5,,,
IF775 - TOPICOS AVANCADOS EM ALGORITMOS,ELETI,75,5,,,
IF762 - TOPICOS AVANCADOS EM INTERFACE,ELETI,75,5,9.40,APROVADO POR MÉDIA,2020.3
IF760 - TOPICOS AVANCADOS EM MIDIAS,ELETI,75,5,9.50,APROVADO POR MÉDIA,2016.2
IF722 - TOPICOS AVANCADOS ENG. SOFTWARE,ELETI,75,5,,,
IF776 - TOPICOS AVANCADOS INF. TEORICA,ELETI,75,5,,,
IF724 - TOPICOS AVAN½.LING.COMPUTACIONAIS,ELETI,75,5,,,
IF733 - TRANSDUTORES,ELETI,75,4,,,
